service_id,date,exception_type
A  01FP001_008001,20250706,1
A  01LP001_008001,20250701,1
A  01LP001_008001,20250702,1
A  01LP001_008001,20250703,1
A  01LP001_008001,20250704,1
A  01LP001_008001,20250707,1
A  01SP000_008001,20250705,1
A  02FP000_008002,20250706,1
A  02LP000_008002,20250701,1
A  02LP000_008002,20250702,1
A  02LP000_008002,20250703,1
A  02LP000_008002,20250704,1
A  02LP000_008002,20250707,1
A  02SP000_008002,20250705,1
A  03FP000_008003,20250706,1
A  03LP000_008003,20250701,1
A  03LP000_008003,20250702,1
A  03LP000_008003,20250703,1
A  03LP000_008003,20250704,1
A  03LP000_008003,20250707,1
A  03SP001_008003,20250705,1
A  04LP000_008004,20250701,1
A  04LP000_008004,20250702,1
A  04LP000_008004,20250703,1
A  04LP000_008004,20250704,1
A  04LP000_008004,20250707,1
A  04SP000_008004,20250705,1
C1 01FPV00_001001,20250706,1
C1 01LPV00_001001,20250701,1
C1 01LPV00_001001,20250702,1
C1 01LPV00_001001,20250703,1
C1 01LPV00_001001,20250704,1
C1 01LPV00_001001,20250707,1
C1 01SPV00_001001,20250705,1
C1 02FPV00_001002,20250706,1
C1 02LP100_001002,20250701,1
C1 02LP100_001002,20250702,1
C1 02LP100_001002,20250703,1
C1 02LP100_001002,20250704,1
C1 02LP100_001002,20250707,1
C1 02SP101_001002,20250705,1
C1 03LP200_001003,20250701,1
C1 03LP200_001003,20250702,1
C1 03LP200_001003,20250703,1
C1 03LP200_001003,20250704,1
C1 03LP200_001003,20250707,1
C1 03SP100_001003,20250705,1
C1 04LPV00_001004,20250701,1
C1 04LPV00_001004,20250702,1
C1 04LPV00_001004,20250703,1
C1 04LPV00_001004,20250704,1
C1 04LPV00_001004,20250707,1
C3 01FPV02_003001,20250706,1
C3 01LPV01_003001,20250701,1
C3 01LPV01_003001,20250702,1
C3 01LPV01_003001,20250703,1
C3 01LPV01_003001,20250704,1
C3 01LPV01_003001,20250707,1
C3 01SPV00_003001,20250705,1
C3 02FPV01_003002,20250706,1
C3 02LPV01_003002,20250701,1
C3 02LPV01_003002,20250702,1
C3 02LPV01_003002,20250703,1
C3 02LPV01_003002,20250704,1
C3 02LPV01_003002,20250707,1
C3 02SPV01_003002,20250705,1
C3 03FPV01_003003,20250706,1
C3 03LPV01_003003,20250701,1
C3 03LPV01_003003,20250702,1
C3 03LPV01_003003,20250703,1
C3 03LPV01_003003,20250704,1
C3 03LPV01_003003,20250707,1
C3 03SPV00_003003,20250705,1
C3 04LPV04_003004,20250701,1
C3 04LPV04_003004,20250702,1
C3 04LPV04_003004,20250703,1
C3 04LPV04_003004,20250704,1
C3 04LPV04_003004,20250707,1
C3 05LPV01_003005,20250701,1
C3 05LPV01_003005,20250702,1
C3 05LPV01_003005,20250703,1
C3 05LPV01_003005,20250704,1
C3 05LPV01_003005,20250707,1
C3 06LPV01_003006,20250701,1
C3 06LPV01_003006,20250702,1
C3 06LPV01_003006,20250703,1
C3 06LPV01_003006,20250704,1
C3 06LPV01_003006,20250707,1
C3 07FPV01_003007,20250706,1
C3 07LPV01_003007,20250701,1
C3 07LPV01_003007,20250702,1
C3 07LPV01_003007,20250703,1
C3 07LPV01_003007,20250704,1
C3 07LPV01_003007,20250707,1
C3 07SPV00_003007,20250705,1
C3 08FPV01_003008,20250706,1
C3 08LPV01_003008,20250701,1
C3 08LPV01_003008,20250702,1
C3 08LPV01_003008,20250703,1
C3 08LPV01_003008,20250704,1
C3 08LPV01_003008,20250707,1
C3 08SPV01_003008,20250705,1
C3 09FPV02_003009,20250706,1
C3 09LPV01_003009,20250701,1
C3 09LPV01_003009,20250702,1
C3 09LPV01_003009,20250703,1
C3 09LPV01_003009,20250704,1
C3 09LPV01_003009,20250707,1
C3 09SPV00_003009,20250705,1
C3 10LPV01_003010,20250701,1
C3 10LPV01_003010,20250702,1
C3 10LPV01_003010,20250703,1
C3 10LPV01_003010,20250704,1
C3 10LPV01_003010,20250707,1
C3 10SPV00_003010,20250705,1
C3 11LPV01_003011,20250701,1
C3 11LPV01_003011,20250702,1
C3 11LPV01_003011,20250703,1
C3 11LPV01_003011,20250704,1
C3 11LPV01_003011,20250707,1
C3 12LPV01_003012,20250701,1
C3 12LPV01_003012,20250702,1
C3 12LPV01_003012,20250703,1
C3 12LPV01_003012,20250704,1
C3 12LPV01_003012,20250707,1
C3 13LPV04_003013,20250701,1
C3 13LPV04_003013,20250702,1
C3 13LPV04_003013,20250703,1
C3 13LPV04_003013,20250704,1
C3 13LPV04_003013,20250707,1
C3 14LPV04_003014,20250701,1
C3 14LPV04_003014,20250702,1
C3 14LPV04_003014,20250703,1
C3 14LPV04_003014,20250704,1
C3 14LPV04_003014,20250707,1
CKD01S0901_750001,20250705,1
CKD02F0300_750002,20250706,1
COM01FP102_018001,20250706,1
COM03FP105_010001,20250706,1
COM04FPV01_003010,20250706,1
COM05FP101_005100,20250706,1
COM05SC101_005100,20250705,1
H  01FP103_101001,20250706,1
H  01LP200_101001,20250701,1
H  01LP200_101001,20250702,1
H  01LP200_101001,20250703,1
H  01LP200_101001,20250704,1
H  01LP200_101001,20250707,1
H  01SP103_101001,20250705,1
H  02FP103_101002,20250706,1
H  02LP202_101002,20250701,1
H  02LP202_101002,20250702,1
H  02LP202_101002,20250703,1
H  02LP202_101002,20250704,1
H  02LP202_101002,20250707,1
H  02SP101_101002,20250705,1
H  03FP100_101003,20250706,1
H  03LP108_101003,20250701,1
H  03LP108_101003,20250702,1
H  03LP108_101003,20250703,1
H  03LP108_101003,20250704,1
H  03LP108_101003,20250707,1
H  03SP100_101003,20250705,1
H  04FP100_101004,20250706,1
H  04LP107_101004,20250701,1
H  04LP107_101004,20250702,1
H  04LP107_101004,20250703,1
H  04LP107_101004,20250704,1
H  04LP107_101004,20250707,1
H  04SP100_101004,20250705,1
H  05LP105_101005,20250701,1
H  05LP105_101005,20250702,1
H  05LP105_101005,20250703,1
H  05LP105_101005,20250704,1
H  05LP105_101005,20250707,1
H  06LP111_101006,20250701,1
H  06LP111_101006,20250702,1
H  06LP111_101006,20250703,1
H  06LP111_101006,20250704,1
H  06LP111_101006,20250707,1
H  07LP111_101007,20250701,1
H  07LP111_101007,20250702,1
H  07LP111_101007,20250703,1
H  07LP111_101007,20250704,1
H  07LP111_101007,20250707,1
H  08LPV00_101008,20250701,1
H  08LPV00_101008,20250702,1
H  08LPV00_101008,20250703,1
H  08LPV00_101008,20250704,1
H  08LPV00_101008,20250707,1
H  09LPV01_101009,20250701,1
H  09LPV01_101009,20250702,1
H  09LPV01_101009,20250703,1
H  09LPV01_101009,20250704,1
H  09LPV01_101009,20250707,1
H  10LP203_101010,20250701,1
H  10LP203_101010,20250702,1
H  10LP203_101010,20250703,1
H  10LP203_101010,20250704,1
H  10LP203_101010,20250707,1
L1101FP104_011001,20250706,1
L1101LP102_011001,20250701,1
L1101LP102_011001,20250702,1
L1101LP102_011001,20250703,1
L1101LP102_011001,20250704,1
L1101LP102_011001,20250707,1
L1101SP107_011001,20250705,1
L1102FP104_011002,20250706,1
L1102LP105_011002,20250701,1
L1102LP105_011002,20250702,1
L1102LP105_011002,20250703,1
L1102LP105_011002,20250704,1
L1102LP105_011002,20250707,1
L1102SP104_011002,20250705,1
L1103FP104_011003,20250706,1
L1103LP103_011003,20250701,1
L1103LP103_011003,20250702,1
L1103LP103_011003,20250703,1
L1103LP103_011003,20250704,1
L1103LP103_011003,20250707,1
L1103SP104_011003,20250705,1
L1104FP104_011004,20250706,1
L1104LP102_011004,20250701,1
L1104LP102_011004,20250702,1
L1104LP102_011004,20250703,1
L1104LP102_011004,20250704,1
L1104LP102_011004,20250707,1
L1104SP104_011004,20250705,1
L1105FP104_011005,20250706,1
L1105LP104_011005,20250701,1
L1105LP104_011005,20250702,1
L1105LP104_011005,20250703,1
L1105LP104_011005,20250704,1
L1105LP104_011005,20250707,1
L1105SP104_011005,20250705,1
L1201LP301_012001,20250701,1
L1201LP301_012001,20250702,1
L1201LP301_012001,20250703,1
L1201LP301_012001,20250704,1
L1201LP301_012001,20250707,1
L1201SP101_012001,20250705,1
L1202LP103_012002,20250701,1
L1202LP103_012002,20250702,1
L1202LP103_012002,20250703,1
L1202LP103_012002,20250704,1
L1202LP103_012002,20250707,1
L1202SP100_012002,20250705,1
L1203LP104_012003,20250701,1
L1203LP104_012003,20250702,1
L1203LP104_012003,20250703,1
L1203LP104_012003,20250704,1
L1203LP104_012003,20250707,1
L1203SP104_012003,20250705,1
L1204LP104_012004,20250701,1
L1204LP104_012004,20250702,1
L1204LP104_012004,20250703,1
L1204LP104_012004,20250704,1
L1204LP104_012004,20250707,1
L1204SP102_012004,20250705,1
L1205LP101_012005,20250701,1
L1205LP101_012005,20250702,1
L1205LP101_012005,20250703,1
L1205LP101_012005,20250704,1
L1205LP101_012005,20250707,1
L1301LP200_013001,20250701,1
L1301LP200_013001,20250702,1
L1301LP200_013001,20250703,1
L1301LP200_013001,20250704,1
L1301LP200_013001,20250707,1
L1302LP502_013002,20250701,1
L1302LP502_013002,20250702,1
L1302LP502_013002,20250703,1
L1302LP502_013002,20250704,1
L1302LP502_013002,20250707,1
L1303LP101_013003,20250701,1
L1303LP101_013003,20250702,1
L1303LP101_013003,20250703,1
L1303LP101_013003,20250704,1
L1303LP101_013003,20250707,1
L1401L0106_014001,20250701,1
L1401L0106_014001,20250702,1
L1401L0106_014001,20250703,1
L1401L0106_014001,20250704,1
L1401L0106_014001,20250707,1
L1401S0104_014001,20250705,1
L1501FP100_015001,20250706,1
L1501LP102_015001,20250701,1
L1501LP102_015001,20250702,1
L1501LP102_015001,20250703,1
L1501LP102_015001,20250704,1
L1501LP102_015001,20250707,1
L1501SP100_015001,20250705,1
L1502FP100_015002,20250706,1
L1502LP102_015002,20250701,1
L1502LP102_015002,20250702,1
L1502LP102_015002,20250703,1
L1502LP102_015002,20250704,1
L1502LP102_015002,20250707,1
L1502SP101_015002,20250705,1
L1503FP100_015003,20250706,1
L1503LP100_015003,20250701,1
L1503LP100_015003,20250702,1
L1503LP100_015003,20250703,1
L1503LP100_015003,20250704,1
L1503LP100_015003,20250707,1
L1503SP100_015003,20250705,1
L1504FP101_015004,20250706,1
L1504LP101_015004,20250701,1
L1504LP101_015004,20250702,1
L1504LP101_015004,20250703,1
L1504LP101_015004,20250704,1
L1504LP101_015004,20250707,1
L1504SP100_015004,20250705,1
L1505LP101_015005,20250701,1
L1505LP101_015005,20250702,1
L1505LP101_015005,20250703,1
L1505LP101_015005,20250704,1
L1505LP101_015005,20250707,1
L1505SP100_015005,20250705,1
L1506LP101_015006,20250701,1
L1506LP101_015006,20250702,1
L1506LP101_015006,20250703,1
L1506LP101_015006,20250704,1
L1506LP101_015006,20250707,1
L1506SP100_015006,20250705,1
L1507LP100_015007,20250701,1
L1507LP100_015007,20250702,1
L1507LP100_015007,20250703,1
L1507LP100_015007,20250704,1
L1507LP100_015007,20250707,1
L1507SP100_015007,20250705,1
L1508LP202_015008,20250701,1
L1508LP202_015008,20250702,1
L1508LP202_015008,20250703,1
L1508LP202_015008,20250704,1
L1508LP202_015008,20250707,1
L1601FP102_016001,20250706,1
L1601LP103_016001,20250701,1
L1601LP103_016001,20250702,1
L1601LP103_016001,20250703,1
L1601LP103_016001,20250704,1
L1601LP103_016001,20250707,1
L1601SP102_016001,20250705,1
L1701FP102_017001,20250706,1
L1701LP102_017001,20250701,1
L1701LP102_017001,20250702,1
L1701LP102_017001,20250703,1
L1701LP102_017001,20250704,1
L1701LP102_017001,20250707,1
L1701SP101_017001,20250705,1
L1702FP102_017002,20250706,1
L1702LP103_017002,20250701,1
L1702LP103_017002,20250702,1
L1702LP103_017002,20250703,1
L1702LP103_017002,20250704,1
L1702LP103_017002,20250707,1
L1702SP101_017002,20250705,1
L1703LP103_017003,20250701,1
L1703LP103_017003,20250702,1
L1703LP103_017003,20250703,1
L1703LP103_017003,20250704,1
L1703LP103_017003,20250707,1
L1704LP104_017004,20250701,1
L1704LP104_017004,20250702,1
L1704LP104_017004,20250703,1
L1704LP104_017004,20250704,1
L1704LP104_017004,20250707,1
L1801LP104_018001,20250701,1
L1801LP104_018001,20250702,1
L1801LP104_018001,20250703,1
L1801LP104_018001,20250704,1
L1801LP104_018001,20250707,1
L2301FPV01_023001,20250706,1
L2301LV 06_023001,20250701,1
L2301LV 06_023001,20250702,1
L2301LV 06_023001,20250703,1
L2301LV 06_023001,20250704,1
L2301LV 06_023001,20250707,1
L2301SV 05_023001,20250705,1
L2302FPV01_023002,20250706,1
L2302LV 05_023002,20250701,1
L2302LV 05_023002,20250702,1
L2302LV 05_023002,20250703,1
L2302LV 05_023002,20250704,1
L2302LV 05_023002,20250707,1
L2302SV 06_023002,20250705,1
L2303LV 11_023003,20250701,1
L2303LV 11_023003,20250702,1
L2303LV 11_023003,20250703,1
L2303LV 11_023003,20250704,1
L2303LV 11_023003,20250707,1
L2401FP102_024001,20250706,1
L2401LP302_024001,20250701,1
L2401LP302_024001,20250702,1
L2401LP302_024001,20250703,1
L2401LP302_024001,20250704,1
L2401LP302_024001,20250707,1
L2401SP102_024001,20250705,1
L2402FP102_024002,20250706,1
L2402LP101_024002,20250701,1
L2402LP101_024002,20250702,1
L2402LP101_024002,20250703,1
L2402LP101_024002,20250704,1
L2402LP101_024002,20250707,1
L2402SP102_024002,20250705,1
L2501L0104_025001,20250701,1
L2501L0104_025001,20250702,1
L2501L0104_025001,20250703,1
L2501L0104_025001,20250704,1
L2501L0104_025001,20250707,1
L2501S0103_025001,20250705,1
L2502L0104_025002,20250701,1
L2502L0104_025002,20250702,1
L2502L0104_025002,20250703,1
L2502L0104_025002,20250704,1
L2502L0104_025002,20250707,1
L2701L0112_027001,20250701,1
L2701L0112_027001,20250702,1
L2701L0112_027001,20250703,1
L2701L0112_027001,20250704,1
L2701L0112_027001,20250707,1
L2702LP200_027002,20250701,1
L2702LP200_027002,20250702,1
L2702LP200_027002,20250703,1
L2702LP200_027002,20250704,1
L2702LP200_027002,20250707,1
L2801LV 00_028001,20250701,1
L2801LV 00_028001,20250702,1
L2801LV 00_028001,20250703,1
L2801LV 00_028001,20250704,1
L2801LV 00_028001,20250707,1
L2801S0109_028001,20250705,1
L3001LP101_030001,20250701,1
L3001LP101_030001,20250702,1
L3001LP101_030001,20250703,1
L3001LP101_030001,20250706,1
L3001LP101_030001,20250707,1
L3001LP203_030001,20250704,1
L3001SP102_030001,20250705,1
L3101FP101_031001,20250706,1
L3101LP101_031001,20250701,1
L3101LP101_031001,20250702,1
L3101LP101_031001,20250703,1
L3101LP101_031001,20250704,1
L3101LP101_031001,20250707,1
L3101SP102_031001,20250705,1
L3102LP101_031002,20250701,1
L3102LP101_031002,20250702,1
L3102LP101_031002,20250703,1
L3102LP101_031002,20250704,1
L3102LP101_031002,20250707,1
L3103LP103_031003,20250701,1
L3103LP103_031003,20250702,1
