stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3711,P008950,Rúa de Marín  5,Parada,42.2187125725441,-8.75011434995974,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8950,,,Europe/Madrid,1
3709,P008930,Rúa de Vilagarcía de Arousa (cruce Rúa do Grove),Parada,42.2201411499157,-8.74508275689902,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8930,,,Europe/Madrid,1
3297,P005070,Rúa da Estrada  10-12,Parada,42.2205358364001,-8.74141599047391,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5070,,,Europe/Madrid,1
3299,P005090,Rúa da Estrada  1,Parada,42.220359068495,-8.73886199876299,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5090,,,Europe/Madrid,1
2909,P001260,Avda. de Castelao  21,Parada,42.219775976508,-8.73625552264701,,http://infobus.vitrasa.es:8002/Default.aspx?parada=1260,,,Europe/Madrid,1
3063,P002780,Avda. das Camelias  135,Parada,42.2223871783743,-8.73120769760476,,http://infobus.vitrasa.es:8002/Default.aspx?parada=2780,,,Europe/Madrid,1
3951,P0014331,Rúa de Álvaro Cunqueiro  30,Parada,42.2237698283283,-8.72893872779855,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14331,,,Europe/Madrid,1
5446,PA20170,Rúa de Álvaro Cunqueiro  4,Parada,42.2245448049109,-8.73041356127334,,http://infobus.vitrasa.es:8002/Default.aspx?parada=20170,,,Europe/Madrid,1
4056,P0014899,Rúa de López Mora  33,Parada,42.2254857186241,-8.73050143389068,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14899,,,Europe/Madrid,1
3379,P005880,Rúa de López Mora  19,Parada,42.2268005664525,-8.7317996230539,,http://infobus.vitrasa.es:8002/Default.aspx?parada=5880,,,Europe/Madrid,1
3444,P006480,Rúa de Pi i Margall  137,Parada,42.2291491882537,-8.73188690797414,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6480,,,Europe/Madrid,1
3916,P0014295,Rúa de Pi i Margall  121,Parada,42.230436357767,-8.7314374730116,,http://infobus.vitrasa.es:8002/Default.aspx?parada=14295,,,Europe/Madrid,1
3448,P006520,Rúa de Pi i Margall  95,Parada,42.232285981408,-8.73081632399536,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6520,,,Europe/Madrid,1
3446,P006500,Rúa de Pi i Margall  51,Parada,42.2336900676054,-8.73010017418838,,http://infobus.vitrasa.es:8002/Default.aspx?parada=6500,,,Europe/Madrid,1
5512,PA20197,Rúa de Pi i Margall  3-5,Parada,42.2355870301881,-8.72883089703981,,http://infobus.vitrasa.es:8002/Default.aspx?parada=20197,,,Europe/Madrid,1
3057,P002735,Rúa da Cachamuíña (Concello),Parada,42.2350333137119,-8.72720219773009,,http://infobus.vitrasa.es:8002/Default.aspx?parada=2735,,,Europe/Madrid,1
3700,P008870,Rúa de Venezuela  4,Parada,42.2342500427101,-8.72436153083314,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8870,,,Europe/Madrid,1
3701,P008880,Rúa de Venezuela  20,Parada,42.2331881262318,-8.72155331019428,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8880,,,Europe/Madrid,1
3704,P008910,Rúa de Venezuela  42,Parada,42.2322240460151,-8.71898582354467,,http://infobus.vitrasa.es:8002/Default.aspx?parada=8910,,,Europe/Madrid,1
